quantity,parameter,group,S1,S1_conf,ST,ST_conf,n_imputed
end_diastolic_pressure_mmhg,total_blood_volume_ml,loading,0.2610870379017144,0.05403954639179676,0.273041223956448,0.04479633392987249,0
end_diastolic_pressure_mmhg,systemic_resistance_mmhg_s_per_ml,loading,0.04402453370577617,0.035055024148174074,0.053075576671671204,0.00851831057543642,0
e_over_e_prime,wall_volume_ml,measured,0.43127279728139095,0.09087917965859026,0.4430939927541042,0.06498867369855882,0
e_over_e_prime,ref_cavity_volume_ml,measured,0.08187669388979599,0.03973942197744664,0.08041594804246979,0.014508540995527154,0
e_over_e_prime,body_surface_area_m2,measured,0.0,0.0,0.0,0.0,0
e_over_e_prime,phi_baseline,hidden,-0.005099786572813788,0.0134657196912134,0.0074142200988133325,0.0018327122444828153,0
e_over_e_prime,a_pas_kpa,hidden,0.2089264212311137,0.06738476851794158,0.22873198681070572,0.04214690702179,0
e_over_e_prime,b_pas,hidden,0.2362458534530316,0.08351806294921242,0.30731120542189067,0.049928622305112205,0
e_over_e_prime,ca50_ref_um,hidden,0.006220046913302182,0.022764567013505377,0.024736890025374825,0.005418993317069115,0
e_over_e_prime,clearance_l_per_h,hidden,0.0,0.0,0.0,0.0,0
e_over_e_prime,heart_rate_bpm,loading,3.843468273260193e-05,0.006191656319559389,0.002686586176307149,0.0013945730236428313,0
e_over_e_prime,total_blood_volume_ml,loading,0.012737933365856133,0.02184719799321516,0.0190720212492338,0.005657632916871463,0
e_over_e_prime,systemic_resistance_mmhg_s_per_ml,loading,0.007068383078142738,0.01260526934719032,0.009723881910575546,0.0026628426562684024,0
peak_strain_amplitude,wall_volume_ml,measured,0.16180416667943592,0.07822769659820199,0.2687253428771557,0.0643901836048686,0
peak_strain_amplitude,ref_cavity_volume_ml,measured,7.088661002859933e-05,0.03640312251067676,0.07024476006484441,0.01896011503414036,0
peak_strain_amplitude,body_surface_area_m2,measured,0.0,0.0,0.0,0.0,0
peak_strain_amplitude,phi_baseline,hidden,0.023727321149492418,0.023910034942124996,0.03588880720957396,0.007124752547074009,0
