noise_level,patient_id,parameter,truth,posterior_median,relative_bias,relative_ci90_width
optimistic,2772,clearance_l_per_h,0.9108676039334388,0.6070651654070915,-0.3335308416002766,0.9511655568719802
optimistic,2780,phi_baseline,0.518708560075611,0.4551295684110739,-0.12257170318390216,0.5844605376690003
optimistic,2780,a_pas_kpa,2.741164559777826,1.9864642155441352,-0.27532106437814874,1.0296334326822971
optimistic,2780,b_pas,7.9647938795387745,8.378023617341476,0.05188203788478092,1.0646517321422146
optimistic,2780,ca50_ref_um,0.6608097308315337,0.6551463182147472,-0.008570413467822124,0.37219257021716723
optimistic,2780,clearance_l_per_h,0.9108676039334388,0.6244643137814769,-0.314429110131016,0.950808506914652
optimistic,2781,phi_baseline,0.4271874465793371,0.4805390656712611,0.1248904187590998,0.6376362949665039
optimistic,2781,a_pas_kpa,4.042561439331621,3.0677953045420416,-0.24112586770004485,0.7795420018717274
optimistic,2781,b_pas,13.57433620095253,15.629850857318592,0.15142653209236295,0.6439552199497627
optimistic,2781,ca50_ref_um,0.6118268453050405,0.5983506097439714,-0.022026224681838288,0.4127238821283935
optimistic,2781,clearance_l_per_h,0.2942985303048044,0.6216678482972432,1.112371569281651,2.9925719173217655
optimistic,2784,phi_baseline,0.360809875857085,0.5024894449398263,0.39267098425781405,0.6550364481486035
optimistic,2784,a_pas_kpa,0.8183290716260672,2.0152511821626584,1.4626415607577496,5.137810618430117
optimistic,2784,b_pas,10.824759164825082,8.558049877363416,-0.20940043588473625,0.7798040067238977
optimistic,2784,ca50_ref_um,0.4601955644320696,0.48749373458930767,0.059318629441652525,0.15756463968436166
optimistic,2784,clearance_l_per_h,0.726776612913236,0.6435813695193194,-0.11447154726186629,1.191390615210528
optimistic,2807,phi_baseline,0.4558067565783859,0.5059127618573325,0.10992817582406719,0.5154255193412421
optimistic,2807,a_pas_kpa,4.767484070267528,2.6575596239204424,-0.44256559964314407,0.7151575052873245
optimistic,2807,b_pas,6.196631357073784,8.282338230875778,0.3365872122473526,1.308597010990316
optimistic,2807,ca50_ref_um,0.5106498810462654,0.5234819847282117,0.025128966358818585,0.30217327392780674
optimistic,2807,clearance_l_per_h,0.9397688373643904,0.5844781974209592,-0.3780617379693653,0.9210720755990983
optimistic,2830,phi_baseline,0.4251636919565499,0.4127146097017794,-0.029280680571479117,0.6970743722212098
optimistic,2830,a_pas_kpa,4.556175504252314,3.8536769110237383,-0.15418602566405276,0.7039982048283259
optimistic,2830,b_pas,11.396763283759356,12.484858125879418,0.09547402319662304,0.7920706989210691
