quantity,parameter,spearman,p_value
thickness_to_cavity_ratio,total_blood_volume_ml,-0.15845589217204278,1.6729735577418834e-29
thickness_to_cavity_ratio,systemic_resistance_mmhg_s_per_ml,0.04867186474323003,0.0005720694683095587
stroke_volume_index_ml_per_m2,wall_volume_ml,0.21120923807339523,1.4076619076941063e-51
stroke_volume_index_ml_per_m2,ref_cavity_volume_ml,0.27998102887680393,8.311168595197332e-91
stroke_volume_index_ml_per_m2,body_surface_area_m2,-0.37194494357117636,5.251542027626858e-164
stroke_volume_index_ml_per_m2,phi_baseline,0.02782516070993532,0.04902100783237328
stroke_volume_index_ml_per_m2,a_pas_kpa,-0.5103000865715538,0.0
stroke_volume_index_ml_per_m2,b_pas,-0.43749950192657455,3.972749830606364e-233
stroke_volume_index_ml_per_m2,ca50_ref_um,0.09635531044835462,8.435347049420013e-12
stroke_volume_index_ml_per_m2,clearance_l_per_h,0.0014360502788202797,0.9190983702427645
stroke_volume_index_ml_per_m2,heart_rate_bpm,-0.32547850368832026,7.714596649912015e-124
stroke_volume_index_ml_per_m2,total_blood_volume_ml,0.18313037854669442,5.3485084421349005e-39
stroke_volume_index_ml_per_m2,systemic_resistance_mmhg_s_per_ml,-0.14796321857739192,6.756565496308814e-26
stroke_work_j,wall_volume_ml,0.6092596284293113,0.0
stroke_work_j,ref_cavity_volume_ml,0.07285009007106737,2.477119129151925e-07
stroke_work_j,body_surface_area_m2,0.00040151548342991927,0.9773442963845665
stroke_work_j,phi_baseline,0.12430861614857631,1.0810173613293813e-18
stroke_work_j,a_pas_kpa,-0.5249134179146698,0.0
stroke_work_j,b_pas,-0.44294833742988243,1.345726641219454e-239
stroke_work_j,ca50_ref_um,0.003854646325387689,0.7851347259345625
stroke_work_j,clearance_l_per_h,0.005253494499141097,0.7102103620474923
stroke_work_j,heart_rate_bpm,-0.08622031785174604,9.98807461892945e-10
